NAME,STATE_NAME,FIPS,AN_KEY,AN_TITLE
Lake of the Woods,Minnesota,27077,YK,Yankeedom
Ferry,Washington,53019,FW,Far West
Stevens,Washington,53065,FW,Far West
Okanogan,Washington,53047,FW,Far West
Pend Oreille,Washington,53051,FW,Far West
Boundary,Idaho,16021,FW,Far West
Lincoln,Montana,30053,FW,Far West
Flathead,Montana,30029,FW,Far West
Glacier,Montana,30035,FW,Far West
Toole,Montana,30101,FW,Far West
Liberty,Montana,30051,FW,Far West
Hill,Montana,30041,FW,Far West
Sheridan,Montana,30091,FW,Far West
Divide,North Dakota,38023,FW,Far West
Burke,North Dakota,38013,FW,Far West
Renville,North Dakota,38075,FW,Far West
Bottineau,North Dakota,38009,FW,Far West
Rolette,North Dakota,38079,ML,Midlands
Towner,North Dakota,38095,ML,Midlands
Cavalier,North Dakota,38019,YK,Yankeedom
Pembina,North Dakota,38067,YK,Yankeedom
Kittson,Minnesota,27069,YK,Yankeedom
Roseau,Minnesota,27135,YK,Yankeedom
Blaine,Montana,30005,FW,Far West
Phillips,Montana,30071,FW,Far West
Valley,Montana,30105,FW,Far West
Daniels,Montana,30019,FW,Far West
Whatcom,Washington,53073,LC,Left Coast
Bonner,Idaho,16017,FW,Far West
Ward,North Dakota,38101,FW,Far West
Koochiching,Minnesota,27071,YK,Yankeedom
Skagit,Washington,53057,LC,Left Coast
Williams,North Dakota,38105,FW,Far West
McHenry,North Dakota,38049,FW,Far West
St. Louis,Minnesota,27137,YK,Yankeedom
San Juan,Washington,53055,LC,Left Coast
Roosevelt,Montana,30085,FW,Far West
Mountrial,North Dakota,38061,FW,Far West
Marshall,Minnesota,27089,YK,Yankeedom
Ramsey,North Dakota,38071,YK,Yankeedom
Walsh,North Dakota,38099,YK,Yankeedom
Beltrami,Minnesota,27007,YK,Yankeedom
Pierce,North Dakota,38069,ML,Midlands
Chelan,Washington,53007,FW,Far West
Pondera,Montana,30073,FW,Far West
Clallam,Washington,53009,LC,Left Coast
Benson,North Dakota,38005,ML,Midlands
Chouteau,Montana,30015,FW,Far West
Snohomish,Washington,53061,LC,Left Coast
Island,Washington,53029,LC,Left Coast
Sanders,Montana,30089,FW,Far West
Lake,Minnesota,27075,YK,Yankeedom
Nelson,North Dakota,38063,YK,Yankeedom
Grand Forks,North Dakota,38035,YK,Yankeedom
Polk,Minnesota,27119,YK,Yankeedom
Pennington,Minnesota,27113,YK,Yankeedom
Douglas,Washington,53017,FW,Far West
McKenzie,North Dakota,38053,FW,Far West
Jefferson,Washington,53031,LC,Left Coast
Richland,Montana,30083,FW,Far West
Teton,Montana,30099,FW,Far West
McCone,Montana,30055,FW,Far West
Shoshone,Idaho,16079,FW,Far West
Spokane,Washington,53063,FW,Far West
Lake,Montana,30047,FW,Far West
Clearwater,Minnesota,27029,YK,Yankeedom
Kootenai,Idaho,16055,FW,Far West
Garfield,Montana,30033,FW,Far West
Red Lake,Minnesota,27125,YK,Yankeedom
Grant,Washington,53025,FW,Far West
Lincoln,Washington,53043,FW,Far West
Lewis and Clark,Montana,30049,FW,Far West
Kitsap,Washington,53035,LC,Left Coast
Itasca,Minnesota,27061,YK,Yankeedom
Sheridan,North Dakota,38083,FW,Far West
Wells,North Dakota,38103,ML,Midlands
McLean,North Dakota,38055,FW,Far West
Eddy,North Dakota,38027,ML,Midlands
Dunn,North Dakota,38025,FW,Far West
Fergus,Montana,30027,FW,Far West
Dawson,Montana,30021,FW,Far West
King,Washington,53033,LC,Left Coast
Cascade,Montana,30013,FW,Far West
Griggs,North Dakota,38039,YK,Yankeedom
Steele,North Dakota,38091,YK,Yankeedom
Traill,North Dakota,38097,YK,Yankeedom
Mason,Washington,53045,LC,Left Coast
Missoula,Montana,30063,FW,Far West
Petroleum,Montana,30069,FW,Far West
Powell,Montana,30077,FW,Far West
Kittitas,Washington,53037,FW,Far West
